"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","30-Jun-2021","        524.95","        527.00","        530.40","        524.35","        528.00","        525.65","        527.41","    5654391","          2982191881.90","     105020","    2810329","         49.70"
"BHARTIARTL","EQ","01-Jul-2021","        525.65","        529.00","        531.00","        522.00","        523.20","        522.65","        524.74","    6454014","          3386693761.15","     129105","    3227982","         50.02"
"BHARTIARTL","EQ","02-Jul-2021","        522.65","        525.60","        533.00","        520.00","        525.45","        525.00","        527.31","   13063791","          6888614243.15","     179216","    4224394","         32.34"
"BHARTIARTL","EQ","05-Jul-2021","        525.00","        528.00","        528.50","        523.30","        524.10","        523.95","        525.41","    6256128","          3287021023.45","     129389","    3502031","         55.98"
"BHARTIARTL","EQ","06-Jul-2021","        523.95","        523.50","        527.70","        521.10","        527.00","        526.10","        524.44","   10300966","          5402230768.10","     140103","    6244902","         60.62"
"BHARTIARTL","EQ","07-Jul-2021","        526.10","        523.20","        530.60","        523.20","        530.20","        529.60","        528.95","    6546286","          3462650689.55","     114175","    3742069","         57.16"
"BHARTIARTL","EQ","08-Jul-2021","        529.60","        530.00","        532.80","        523.55","        525.50","        525.30","        528.35","    5301428","          2800991214.80","      70695","    2926722","         55.21"
"BHARTIARTL","EQ","09-Jul-2021","        525.30","        525.50","        537.50","        523.00","        536.50","        536.25","        531.89","    7169047","          3813176904.75","     111147","    2998995","         41.83"
"BHARTIARTL","EQ","12-Jul-2021","        536.25","        538.95","        538.95","        528.65","        529.60","        529.65","        532.16","    8768168","          4666065345.90","     120737","    5205299","         59.37"
"BHARTIARTL","EQ","13-Jul-2021","        529.65","        533.55","        535.50","        528.20","        530.55","        530.05","        531.38","    7988044","          4244666731.90","     135282","    4660077","         58.34"
"BHARTIARTL","EQ","14-Jul-2021","        530.05","        529.00","        531.40","        526.65","        530.00","        530.05","        529.52","    6543996","          3465174567.90","      90298","    4029543","         61.58"
"BHARTIARTL","EQ","15-Jul-2021","        530.05","        532.50","        532.50","        525.00","        525.45","        525.45","        527.13","    6759881","          3563337512.70","     146578","    4366257","         64.59"
